Company,Address1,Address2,Address3,City,State,Zip,Phone1,Phone2,Fax1,Fax2,Email,Website

The Laptop Guy,587 State Street,other store address under Driving directions,,Westerville,OH,43081,614-487-9674,614-942-2660,707-313-7399,,questions@laptopguy.com,www.laptopguy.com












Ministry Business Solutions,620 Herndon Parkway   Suite 200,,,Herndon,VA,20170,866-305-5797,,866-397-0046,,researchanddevelopment@ministrybusinesssolutions.net,ministrybusinesssolutions.net












Outdoor Lighting Perspectives Memphis,860 Oakwood Lane,,,Collierville (call-yer-ville),TN,38017,901-854-7111,,901-854-1085,,memphislights@earthlink.net,www.outdoorlights.com












Sureclick Promotions,"1211 Connecticut Ave, NW   Suite 608",,,Washington,DC,20036,202-349-9620,,202-349-9621,,,www.sureclick.com












Powerhouse Word of Deliverance Holiness Outreach,1725 I Street North West    Suite 300,,,Washington,DC,20006,202-728-7522,,866-397-0046,,administration@divinewilldivineorder.org,www.divinewilldivineorder.org <http://www.divinewilldivineorder.org>












Handyman Connection Chino,6030 Riverside Ave. Suite D,,,Chino,CA,91710,909-590-8764,,909-591-3472,,hc4802@aol.com,www.handymanconnection.com












Servicesheet.com,300 Maplewood Road,,,Riverside ,IL,60546,708-447-9896,866-221-0480,708-221-0408,,chris@servicesheet.com,www.servicesheet.com












Handyman Connection Sacramento,8341 Fair Oaks Blvd.,,,Carmichael,CA,95608,916-863-6633,916-863-1114,916-863-6634,,sacramento@handymanconnection-sac.com,www.handymanconnection.com












Handyman Connection New Orleans,7001 190 East Service Rd.,,,Covington,LA,70435,,,,,artwscoti@aol.com;northshore@handymanconnectionla.com,www.handymanconnection.com












Audio To Go,PO Box 18536,,,Charlotte,NC,28218,704-537-9300,,877-893-2677,,info@audiotogodj.com,www.audiotogodj.com












800 Buy Kwik Whalen,3911 West Valley,,,Fairview Park,OH,44126,216-240-7363,440-356-5001,440-331-6190,,esaapprisals@ameritech.net,www.buybiz












Test Company,,,,,,,,,,,,












Z Test Company,1234 Main Street,,,Anytown,OH,43222,,,,,,












Handyman Connection Tucson,4500 E. Speedway Blvd.,Suite 7,,Tucson,AZ,85712,520-797-0800,520-797-2644,520-797-0400,,hmc4401rs@qwest.net,www.handymanconnection.com












SourceCode,44800 Ashlar Terrace,Ste 301,,Ashburn,VA,20147,877-684-7600,914-366-0216,703-729-5589,,jcasoy@sourcecodeinc.com,www.sourcecodeinc.com












A Test Company2,,,,,,,,,,,,












Harrington Group,1001 Bridgeway,Suite 223,,Sausalita,CA,94965,408-907-4000,,408-216-7633,,info@hgrltd.com,www.hgrltd.com












Connect Our People,25251 Paseo De Alicia ,,,Laguna Hills ,CA,92563,610-608-9120,949-699-3472,949-606-7164,,,Connectourpeople.com












Member Health,,,,,,,,,,,,












The Emergency Heating Energy Assistance Program,Columbus LEADS - central office,1808 East Broad Street,,Columbus,OH,43203,614-917-2444,614-252-2799,614-545-1083,,,www.eheap.org












PodDater.com,100 E. Broad St.,Suite 2340,,Columbus,OH,43215,614-917-2382,,,,info@poddater.com,www.poddater.com












Molly Maid Austin TX,8000 Anderson Square,Suite 109,,Austin,TX,78757,512-323-6400,512-323-9023,512-323-5483,,mollymaid@austin.rr.com,www.mollymaid.com












Boys In The Hood Canton,P O Box 20781,,,Gahanna,OH,43230,,,,,,












"Handyman Connection Modesto, CA",4306 Sisk Rd.,Suite C,,Modesto,CA,95356,209-543-0200,209-598-2870,209-543-0353,,hc4812@handymanconnection.com,www.handymanconnection.com












"Molly Maid Flower Mound, TX",1152 W. Main St,,,Lewisville ,TX,75028,(972) 899-9270,972-899-9273,972-899-9271,,kevin.keith@mollymaid.com,www.mollymaid.com












"Molly Maid Phoenix, AZ",4506 East Thomas,,,Phoenix,AZ,85018,602-957-6243,602-957-6246,602-952-8200,,mmaid@qwest.net,www.mollymaid.com












"Molly Maid Highland Park, IL",1421 Old Deerfield Rd.,,,Highland Park,IL,60035,847-681-1800,847-579-4761,847-579-4764,,mollymaid@tds.net,www.mollymaid.com












"Molly Maid Houston, TX",5615 NW Central Dr.,Suite C101,,Houston,TX,77092,713-460-1045,713-460-1055,713-460-1023,,mollymaidtx@sbcglobal.net,www.mollymaid.com












"Molly Maid Metamora, MI",3371 South Lapeer Rd.,,,Metamora,MI,48455,810-678-2078,810-678-2428,810-678-3050,,mollymaid1019@aol.com,www.mollymaid.com












"Molly Maid Cordova, TN",70 Timber Creek Dr.,Suite 1,,Cordova,TN,38018,901-372-3256,901-754-4826,901-754-4830,,cindy@mollymaidmemphis.com,www.mollymaid.com












"Molly Maid Arnold, MD",1298 Bay Dale Dr.,Suite 215,,Arnold,MD,21012,410-349-8080,410-349-8081,410-349-8770,,mmofannap@aol.com,www.mollymaid.com












"Molly Maid Englewood, CO",4400 South Federal Blvd.,Suite 1B,,Englewood,CO,80110,303-703-9784,303-703-1672,303-703-1829,,carolesd@qwest.net,www.mollymaid.com












Test Company 1,,,,,,,,,,,,












Test Company 2,asdfasdf,,,asdfas,as,12345,,,,,,












"Molly Maid Petaluma, CA",410 Petaluma Blvd. South,Suite D,,Petaluma,CA,94952,707-769-0770,707-769-0772,707-769-0771,,mmssc01@sbcglobal.net,www.mollymaid.com












"Molly Maid The Colony, TX",5201 South Colony Blvd.,Suite 160,,The Colony,TX,75056,469-384-5447,469-384-5443,972-370-9143,,molly.maid_se.denton@comcast.net,www.mollymaid.com












"Mr. Handyman Livonia, MI",16252 Marsha St.,,,Livonia,MI,48154,734-591-2322,734-464-1770,734-464-1780,,tmailloux@mrhandyman.com,www.mrhandyman.com












"Mr. Handyman S. Palm Beach, Fl",,,,,FL,,561-547-4460,,561-547-4521,,,www.mrhandyman.com












"Mr. Handyman Fort Myers, FL",18566 Tulip Rd.,Mailing address under driving instructions,,Fort Myers,FL,33912,239-344-0077,,877-322-3501,,phil.davis@mrhandyman.com,www.mrhandyman.com












"Mr. Handyman Jacksonville, FL",2771-1 Monument Rd.,,,Jacksonville,FL,32225,904-807-6784,904-376-7406,904-807-3953,,deanncombs@comcast.net,www.mrhandyman.com












"Mr. Handyman Davie, FL",4210 South University Drive,Suite 6,,Davie,FL,33328,954-382-9693,954-382-9247,954-382-9512,,service@mrhandymanbroward.com,www.mrhandymanbroward.com












"Mr. Handyman Rockland, MA",239 Chace Rd.,Mailing address listed under driving instructions,,East Freetown,MA,2717,(508) 763-4869,,,,leo.voisine@mrhandyman.com,www.mrhandyman.com












"Mr. Handyman Louisville, KY",12200 Shelbyville Rd.,Unit 205,,Louisville,KY,40243,502-244-2709,,502-244-2631,,gene.johnson@mrhandyman.com,www.mrhandyman.com












"Molly Maid Clinton, MI",43207 Garfield Drive,,,Clinton,MI,48038,586-412-7207,586-260-6478,586-412-7203,,chickdavey@cs.com,www.mollymaid.com












Handyman Connection Corporate,10250 Alliance Rd  Suite 100,,,Cincinnati,OH,45242,513-771-3003,800-466-5530,513-771-6439,,contactus@handymanconnection.com,www.handymanconnection.com












"Professional Carpet Systems Seymour, CT",12 Progress Avenue,,,Seymour,CT,6483,203-888-5560,,203-888-3934,,info@pcssouthernct.com,www.procarpetsys.com












"Professional Carpet Systems Wooster, OH",8344 McFadden Rd.,based out of their home,,Sheeve,OH,44676,330-262-0936,330-496-0080,330-496-0080,,tomemtb@aol.com,www.procarpetsys.com












"Professional Carpet Systems Niagara, ON (Canada)",PO Box 20068 Grantham Postal Outlet,,,"Niagara (Ontario, Canada)",ON,L2M 7W7,905-646-6655,800-631-1919,905-646-4137,,len@pcsniagara.com,www.pcsniagara.com












"Professional Carpet Systems Kinston, NC",2638 Stokes Circle,,,Kinston,NC,28504,252-522-9653,252-521-2200,,,pherbert2@cox.net,www.procarpetsys.com












Professional Carpet Systems Annandale VA,6906 Alpine Dr.,,,Annandale,VA,22003,703-256-0449,,800-806-8810,,professionalcarpetsystems@hotmail.com,www.procarpetsys.com












Professional Carpet Systems Portland / Vancouver Metro Area,PO Box 1149,,,Vancouver,WA,98666,360-696-4140,503-285-8801,360-696-0285,,info@pcs-metro.com,www.pcs-metro.com












Molly Maid Standard Account Set Up,,,,,,,,,,,,www.mollymaid.com












"Molly Maid Orlando, FL",5732 Old Cheney Highway,,,Orlando,FL,32807,407-282-9200,407-282-9288,407-282-9284,,mollymaidofneo@cfl.rr.com,www.mollymaid.com












Molly Maid Lisle IL,4912 S. Main St.,,,Lisle,IL,60532,630-241-7100,630-779-7850,630-241-7204,,mollymessages@sbcglobal.net,www.mollymaid.com












Molly Maid Altamonte Springs FL,995 N State Rd. 434,Suite 506,,Altamonte Springs,FL,32714,407-774-6243,407-774-6245,407-774-9770,,mollymaid@earthlink.net,www.mollymaid.com












Molly Maid Smyrna TN,661 Fizhugh Blvd.  137,,,Smyrna,TN,37167,615-220-2005,615-220-1267,615-220-1245,,bill.foley@comcast.net,www.mollymaid.com












Molly Maid Moreno Valley CA,23910 Alessandro Blvd,Suite C,,Moreno Valley,CA,92553,951-653-1400,951-653-4140,,,diane.stahl@mollymaid.com;ops_mgr@verizon.net,www.mollymaid.com












Molly Maid Bluffton SC,21- A Kitties Landing Drive,,,Bluffton ,SC,29910,843-815-3682,843-815-3683,843-815-3684,,chris.robinson@mollymaid.com,www.mollymaid.com












Molly Maid New Brunswick NJ,243 Livingston Ave,,,New Brunswick,NJ,8901,732-545-0613,,732-545-0613,,mmnewbrunswick@yahoo.com,www.mollymaid.com












Molly Maid Albuquerque NM,3700 Osuna Rd. NE,Suite 503,,Albuquerque,NM,87109,505-341-2700,505-341-2706,505-341-2701,,rmchancey@msn.com,www.mollymaid.com












Molly Maid Livonia MI,32437 Schoolcraft Rd.,,,Livonia,MI,48150,734-421-7195,734-421-7192,734-421-7148,,mollymaid@molly.ldmi.net,www.mollymaid.com












"Molly Maid North Aurora, IL",121 South Lincolonway ,Suite 103,,North Aurora,IL,60542,630-966-2566,,630-566-4973,,mollymaidan@sbcglobal.net,www.mollymaid.com












"Molly Maid Chapel Hill, NC",1832 Martin Luther King Jr. Blvd.,B 16,,Chapel Hill,NC,27514,919-967-0123,919-967-0917,919-967-5855,,made4ever@aol.com,www.mollymaid.com












"Molly Maid Temecula, CA",27911 Jefferson Ave.,Suite 102,,Temecula,CA,92590,951-676-7800,,951-676-1239,,mollytem@adelphia.net,www.mollymaid.com












"Molly Maid Laguna Niguel, CA",26041 Cape Dr.,Suite 134,,Laguna Niguel,CA,92677,949-367-8000,,949-367-2811,,mollymv@adelphia.net,www.mollymaid.com












"Molly Maid Lathrop, CA",125 Darcy Parkway,,,Lathrop,CA,95330,209-858-5506,209-858-5542,209-858-5509,,mollymaid1000@sbcglobal.net,www.mollymaid.com












Molly Maid Raleigh NC,"8900 Autumn Winds Dr, Apt. 207",,,Raleigh,NC,27615,919-847-9903,919-847-9816,919-847-9758,,mollymaidraleigh@gmail.com,www.mollymaid.com












Molly Maid Oakley CA,2045 Main St.,,,Oakley,CA,94561,(925) 679-1300,,925-679-1132,,mollymaideccc@sbcglobal.net,www.mollymaid.com












"Molly Maid South Orlando, FL",5449 South Semoran Blvd. Suite 211,also know as State Road 436,,Orlando,FL,32822,407-737-3655,407-273-6524,,,mollymaidsouthorlando@gmail.com,www.mollymaid.com












"Molly Maid Phillipsburg, NJ",545 Heckman Street,,,Phillipsburg,NJ,8865,908-454-5225,908-454-0792,908-545-0793,,mollymaid2@verizon.net,www.mollymaid.com












Molly Maid Tacoma WA,3844-B South Pine Street,,,Tacoma,WA,98409,253-472-6633,,253-472-6765,,kelly.scott@mollymaid.com,www.mollymaid.com












Molly Maid West Saint Paul MN,245 Marie Ave. East # 101,,,West Saint Paul,MN,55118,651-457-3006,651-457-3206,,,dakotamollymaid@yahoo.com,www.mollymaid.com












"Molly Maid Riverside, CA",11731 Sterling Ave.,Suite M,,Riverside,CA,92503,951-688-3300,951-688-3334,951-688-3311,,mmks@sbcglobal.net,www.mollymaid.com












Molly Maid Canyon Country CA,18350 1/2 Soledad Canyon Rd.,,,Canyon Country,CA,91387,661-298-1800,661-424-0645,661-298-9502,,mollymaidofscv@sbcglobal.net,www.mollymaid.com












Molly Maid Hueytown AL,PO Box 664,This is mailing address,physical is under driving instructions,Dolomite,AL,35061,205-744-6664,205-744-2301,404-601-0218,,debra@mmbhm.com;laura@mmbhm.com,www.mollymaid.com












"Molly Maid Gainesville, FL",5000 NW 34th street Suite 9,,,Gainesville,FL,32605,352-378-7755,,352-378-6112,,mollymaid@bellsouth.net,www.mollymaid.com












Molly Maid Las Vegas NV,6018 Smoke Ranch Rd.,MOLLY MAID of West Clark,,Las Vegas,NV,89108,702-647-4451,,702-647-3758,,kmdinc@sprintmail.com,www.mollymaid.com












Molly Maid Modesto CA,4813 Enterprise Way,Unit F,,Modesto,CA,95356,209-545-4044,,209-545-4477,,mm_csc@sbcglobal.net,www.mollymaid.com












"Molly Maid Colorado Springs, CO",,,,,,,,,,,,www.mollymaid.com












"Molly Maid Wheat Ridge, CO",4325 Harlan St.,,,Wheat Ridge,CO,80033,303-422-6300,303-425-0456,303-432-8976,,rkadnuck@eschelon.com,www.mollymaid.com












Molly Maid Pewaukee WI,235 Oakton Ave.,,,Pewaukee,WI,53072,262-691-5000,262-691-3963,262-691-5019,,mmolc@sbcglobal.net,www.mollymaid.com












"MM of Manalapan, NJ ",,,,,,,,,,,,www.mollymaid.com












"MM of MM of Manalapan, NJ ",,,,,,,,,,,,www.mollymaid.com












Molly Maid Westchester OH,7743 Tylersville Rd.,Suite A,,Westchester,OH,45069,(513) 759-9000,513-759-9300,513-759-6442,,,www.mollymaid.com












Molly Maid Casselberry FL,262 East St. Rd. 436,,,Casselberry,FL,32707,407-339-7740,,407-339-0877,,mollymaidofeastseminole@gmail.com,www.mollymaid.com












Molly Maid San Marcos CA,835 West San Marcos Blvd.,,,San Marcos,CA,92078,760-736-0007,760-736-0151,,,mike.gootgeld@mollymaid.com;irenetrevino@sbcglobal.net,www.mollymaid.com












Molly Maid Stockbridge GA,517 Country Club Drive,Mailing address ,Henry County,Stockbridge,GA,30281,770-507-4900,,770-507-7763,,wekleen@bellsouth.net,www.mollymaid.com












Molly Maid San Jose CA,1275 S. Winchester Blvd.,Suite C,,San Jose,CA,95128,408-261-1415,408-261-1542,408-261-1495,,mollymaid10@sbcglobal.net,www.mollymaid.com












Molly Maid Fort Collins CO,5112 S. College Ave ,Unit B,,Fort Collins,CO,80525,970-282-7707,,970-282-7787,,ann.hindert@mollymaid.com,www.mollymaid.com












Molly Maid St Charles MO,4270 S. Highway 94,,,St. Charles,Mo,63304,636-939-6243,636-939-6244,636-926-8400,,molly-maid@hotmail.com,www.mollymaid.com












Molly Maid Plainfield IL,10117 S. Bode Street,,,Plainfiled,IL,60585,630-305-3900,630-305-3684,630-305-3999,,mollymaidkw@aol.com,www.mollymaid.com












Molly Maid Carry (Central Raleigh) NC,,,,,,,,,,,,www.mollymaid.com












"Molly Maid Mount Pleasant, SC",1035 Johnnie Dodds Blvd,Suite B11,Molly Maid of Greater Charleston,Mount Pleasant (Greater Charleston),SC,29464,843-216-6130,843-216-6131,843-216-6132,,mmgc@mollymaid.com,www.mollymaid.com












Molly Maid Apex NC,534 East Williams St.,,,Apex,NC,27502,(919) 387-3899,919-387-9767,919-387-3811,,mollycary@aol.com,www.mollymaid.com












"Molly Maid Denver, CO",522 Kalamath (kal-a-mut) St.,,,Denver,CO,80204,(303) 639-8500,720-733-2100,303-639-1217,,joseph@mollymaiddenver.com,www.mollymaid.com












"Molly Maid Wichita, KS",4605 E. Kellogg ,,,Witchia,KS,67218,316-684-6243,316-684-5306,316-684-0725,,bstouppe@sbcglobal.net,www.mollymaid.com












Molly Maid Winter Garden FL,13330 W. Colonial Drive,Suite 130,,Winter Garden,FL,34787,407-877-0184,407-877-0852,407-877-0284,,mollymaidoffice1@earthlink.net,www.mollymaid.com












"Molly Maid Elyria, OH",41353 Schadden Rd,,,Elyria,OH,44035,440-327-0000,440-324-3398,440-324-3364,,mollymaidclean@alltel.net,www.mollymaid.com












"Molly Maid Kalamazoo, MI",3408 Miller Road,,," Kalamazoo, ",MI,49001,269-552-4949,269-552-4807,269-552-4788,,kalamazoo.mi@mollymaid.com,www.mollymaid.com












Excel Fabric Care,270 Allen Dr.,,,Kent,OH,44240,330-678-5408,,,,,www.excelfabriccare.com












Molly Maid Grayslake IL,100 S. Atkinson Rd,Suite 105,,Grayslake,IL,,847-548-6889,847-548-2859,847-548-2854,,mollymaid@ameritech.net,www.mollymaid.com












Molly Maid Salinas CA,32 E Alisal,Suite 203,,Salinas,CA,93901,831-751-3000,831-751-3015,831-751-0701,,mollymaidsalinas@aol.com,www.mollymaid.com












Molly Maid Skokie IL,3939 Oakton Street,,,Skokie,IL,60076,847-329-0055,847-329-0086,847-329-0054,,schrean@sbcglobal.net,www.mollymaid.com












Molly Maid South Charlotte NC,501 Minuet Lane,Suite 201,,Charlottee,NC,28217,704-714-1150,704-714-1154,704-714-1151,,mmscharlotte@perigee.net,www.mollymaid.com












"Molly Maid Aurora, CO",11000 E. Yale Ave,Suite 40,,Aurora,CO,80014,303-745-7902,303-745-0902,303-338-8492,,mollymaid1001@qwest.net,www.mollymaid.com












Molly Maid Naples FL,1100 6th Ave South,Unit 14,,Naples,FL,34102,239-353-6243,239-263-8271,239-434-8810,,wendy.rede@mollymaid.com,www.mollymaid.com












Molly Maid Sumner WA,1818 Main Street,Suite A,,Sumner,WA,98390,253-891-4276,253-891-4278,253-891-4278,,robin.moser@mollymaid.com,www.mollymaid.com












Molly Maid East and North Las Vegas NV,3376 South Eastern Ave.,Suite #115,,Las Vegas,NV,89109,702-953-6785,702-953-1471,702-953-6798,,sal.mendez@mollymaid.com,www.mollymaid.com












Molly Maid Dallas TX,4466 Spring Valley Rd,,,Dallas,TX,75244,972-934-0404,972-934-0407,,,maya.roel@mollymaid.com,www.mollymaid.com












Molly Maid Garden City CA,,,,,,,562-439-6243,,,,,www.mollymaid.com












Molly Maid Somerville NJ,14 W Cliff Street,Suite 1414,,Somerville,NJ,8876,908-575-0909,908-575-0999,,,fordref@hotmail.com,www.mollymaid.com












Molly Maid Folsom Lake CA,9198 Greenback Ln,,Suite 102,Orangevale,Ca,95662,916-287-7400,916-987-7402,916-987-7428,,mmfsmlk@sbcglobal.net,www.mollymaid.com












Molly Maid Southeast Indianapolis IN,8230 Madison Ave,,,Indianapolis ,IN,46227,317-885-6243,317-859-6243,,,mollymaidseindy@sbcglobal.net,www.mollymaid.com












Molly Maid Plymouth MN,8951 West 36th St,Suite J,,St Louis Park,MN,55426,952-345-0190,952-345-0227,952-345-0191,,ivttb@mollymaid.com,www.mollymaid.com












